time,gFx,gFy,gFz,TgF
1.709000,-0.0316,0.3635,0.8215,0.899
1.726000,-0.0431,0.3486,0.8894,0.956
1.727000,-0.0520,0.3342,0.9630,1.021
1.731000,-0.0537,0.3301,1.0309,1.084
1.734000,-0.0460,0.3310,1.0689,1.120
1.739000,-0.0411,0.3361,1.0983,1.149
1.744000,-0.0523,0.3267,1.1252,1.173
1.748000,-0.1084,0.3044,1.1501,1.195
1.753000,-0.0921,0.3218,1.1480,1.196
1.758000,-0.0589,0.3455,1.1114,1.165
1.763000,-0.0610,0.3538,1.0913,1.149
1.768000,-0.0780,0.3525,1.0945,1.153
1.774000,-0.0818,0.3567,1.1166,1.175
1.778000,-0.0708,0.3620,1.1430,1.201
1.783000,-0.0754,0.3578,1.1786,1.234
1.788000,-0.0845,0.3454,1.2092,1.260
1.795000,-0.0872,0.3369,1.2366,1.285
1.798000,-0.0866,0.3221,1.2554,1.299
1.803000,-0.0827,0.3029,1.2638,1.302
1.808000,-0.0785,0.2865,1.2586,1.293
1.815000,-0.0764,0.2778,1.2421,1.275
1.818000,-0.0793,0.2757,1.2248,1.258
1.822000,-0.0814,0.2745,1.2159,1.249
1.832000,-0.0852,0.2706,1.2066,1.240
1.832000,-0.0958,0.2589,1.2003,1.232
1.837000,-0.0982,0.2361,1.1890,1.216
1.841000,-0.0543,0.1921,1.1615,1.179
1.846000,-0.0540,0.1540,1.1840,1.195
1.852000,-0.1374,0.1516,1.2345,1.251
1.856000,-0.1625,0.1618,1.2369,1.258
1.863000,-0.1797,0.1649,1.2459,1.270
1.866000,-0.2068,0.1666,1.2614,1.289
1.871000,-0.2217,0.1724,1.2775,1.308
1.879000,-0.2204,0.1777,1.2913,1.322
1.881000,-0.2100,0.1857,1.3004,1.330
1.886000,-0.1959,0.1966,1.3089,1.338
1.895000,-0.1719,0.2119,1.3103,1.338
1.899000,-0.1328,0.2301,1.3008,1.328
1.900000,-0.0893,0.2516,1.2798,1.307
1.906000,-0.0459,0.2794,1.2431,1.275
1.915000,-0.0023,0.3081,1.1901,1.229
1.915000,0.0363,0.3315,1.1271,1.175
1.920000,0.0665,0.3506,1.0592,1.118
1.925000,0.0834,0.3692,0.9927,1.062
1.936000,0.0845,0.3874,0.9391,1.019
1.936000,0.0648,0.3995,0.9002,0.987
1.940000,0.0250,0.4014,0.8723,0.961
1.948000,-0.0194,0.3990,0.8388,0.929
1.949000,-0.0522,0.4008,0.7947,0.892
1.954000,-0.0779,0.4061,0.7530,0.859
1.959000,-0.1073,0.4083,0.7327,0.846
1.964000,-0.1497,0.3816,0.7478,0.853
1.969000,-0.2277,0.2713,0.7943,0.870
1.974000,-0.2374,0.1881,0.8455,0.898
1.982000,-0.1752,0.1750,0.9023,0.936
1.984000,-0.1080,0.1781,0.9761,0.998
1.989000,-0.0435,0.1834,1.0527,1.069
1.996000,0.0123,0.1928,1.1186,1.135
2.000000,0.0607,0.2017,1.1622,1.181
2.003000,0.0945,0.2002,1.1623,1.183
2.009000,0.1124,0.1966,1.1203,1.143
2.013000,0.1299,0.1930,1.0486,1.074
2.019000,0.1594,0.1997,0.9530,0.987
2.023000,0.1867,0.2250,0.8371,0.887
2.032000,0.1727,0.2724,0.7130,0.783
2.033000,0.1472,0.3169,0.6184,0.710
2.038000,0.1398,0.3559,0.5682,0.685
2.044000,0.1529,0.3756,0.5571,0.689
2.050000,0.1717,0.3877,0.5741,0.714
2.054000,0.1732,0.3913,0.6086,0.744
2.058000,0.1596,0.3874,0.6550,0.778
2.063000,0.1266,0.3780,0.7016,0.807
2.079000,0.0653,0.3591,0.7417,0.827
2.079000,-0.0141,0.3252,0.7665,0.833
2.080000,-0.0915,0.2876,0.7728,0.830
2.087000,-0.1485,0.2498,0.7780,0.831
2.088000,-0.1810,0.2178,0.7878,0.837
2.093000,-0.1844,0.1876,0.7973,0.840
2.101000,-0.1628,0.1633,0.8011,0.834
2.103000,-0.1373,0.1593,0.7968,0.824
2.107000,-0.1196,0.1626,0.7868,0.812
2.114000,-0.1154,0.1717,0.7743,0.801
2.118000,-0.1087,0.1839,0.7641,0.793
2.123000,-0.0930,0.1979,0.7576,0.788
2.129000,-0.0718,0.2134,0.7634,0.796
2.135000,-0.0462,0.2312,0.7891,0.824
2.142000,-0.0243,0.2434,0.8187,0.855
2.147000,-0.0130,0.2438,0.8628,0.897
2.153000,-0.0136,0.2396,0.9212,0.952
2.157000,-0.0119,0.2315,0.9413,0.969
2.163000,-0.0145,0.2182,0.9196,0.945
2.167000,-0.0157,0.2029,0.8891,0.912
2.171000,-0.0234,0.1875,0.8642,0.885
2.176000,-0.0421,0.1717,0.8550,0.873
2.182000,-0.0665,0.1566,0.8428,0.860
2.186000,-0.0781,0.1504,0.8098,0.827
2.191000,-0.0773,0.1534,0.7755,0.794
2.197000,-0.0733,0.1664,0.7577,0.779
2.200000,-0.0730,0.1886,0.7587,0.785
2.205000,-0.0773,0.2068,0.7698,0.801
2.210000,-0.0754,0.2216,0.7829,0.817
2.215000,-0.0737,0.2292,0.7915,0.827
2.222000,-0.0707,0.2322,0.7908,0.827
2.225000,-0.0635,0.2345,0.7839,0.821
2.231000,-0.0572,0.2377,0.7724,0.810
2.236000,-0.0528,0.2455,0.7434,0.785
2.240000,-0.0562,0.2531,0.7003,0.747
2.246000,-0.0997,0.2329,0.6492,0.697
2.249000,-0.2022,0.1700,0.6083,0.663
2.254000,-0.2340,0.1803,0.6034,0.672
2.259000,-0.2094,0.2234,0.6236,0.695
2.264000,-0.1603,0.2744,0.6670,0.739
2.269000,-0.1188,0.3202,0.7234,0.800
2.274000,-0.1058,0.3469,0.7712,0.852
2.279000,-0.1038,0.3542,0.7969,0.878
2.284000,-0.0964,0.3511,0.8149,0.893
2.289000,-0.0723,0.3478,0.8392,0.911
2.294000,-0.0306,0.3461,0.8687,0.936
2.299000,0.0036,0.3453,0.8993,0.963
2.303000,0.0157,0.3399,0.9280,0.988
2.310000,0.0140,0.3225,0.9459,0.999
2.313000,0.0032,0.3015,0.9501,0.997
2.318000,-0.0129,0.2867,0.9504,0.993
2.325000,-0.0299,0.2852,0.9443,0.987
